epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,33.5189,0.77603,1.04542,0.99316,0.39568,0.39309,0.22963,0.11727,1.8549,2.4361,2.0572,0.0005744,0.0005744,0.0005744
74,33.9666,0.79573,1.17957,1.01818,0.39568,0.39309,0.22963,0.11727,1.8549,2.4361,2.0572,0.0005546,0.0005546,0.0005546
75,34.4002,0.94785,1.1134,1.06971,0.39568,0.39309,0.22963,0.11727,1.8549,2.4361,2.0572,0.0005348,0.0005348,0.0005348
76,34.8641,0.78829,1.10393,1.0019,0.40884,0.36,0.25311,0.12476,1.82955,2.39753,2.06629,0.000515,0.000515,0.000515
77,35.3042,0.80677,1.14168,1.05707,0.40884,0.36,0.25311,0.12476,1.82955,2.39753,2.06629,0.0004952,0.0004952,0.0004952
78,35.7413,0.75292,1.03832,1.02524,0.40884,0.36,0.25311,0.12476,1.82955,2.39753,2.06629,0.0004754,0.0004754,0.0004754
79,36.1992,0.78233,1.03729,1.014,0.47843,0.36,0.31191,0.12769,1.78219,2.37965,2.04048,0.0004556,0.0004556,0.0004556
80,36.6474,0.79799,1.05003,1.04256,0.47843,0.36,0.31191,0.12769,1.78219,2.37965,2.04048,0.0004358,0.0004358,0.0004358
81,37.1037,0.69533,0.97957,1.00651,0.50334,0.4,0.28511,0.12693,1.78823,2.38496,2.02961,0.000416,0.000416,0.000416
82,37.5342,0.76961,1.06097,1.0206,0.50334,0.4,0.28511,0.12693,1.78823,2.38496,2.02961,0.0003962,0.0003962,0.0003962
83,37.9647,0.70737,0.89217,0.95876,0.50334,0.4,0.28511,0.12693,1.78823,2.38496,2.02961,0.0003764,0.0003764,0.0003764
84,38.4111,0.76363,0.96481,0.96661,0.49602,0.43331,0.27917,0.13231,1.76213,2.31442,2.02692,0.0003566,0.0003566,0.0003566
85,38.8329,0.69487,0.89463,0.97082,0.49602,0.43331,0.27917,0.13231,1.76213,2.31442,2.02692,0.0003368,0.0003368,0.0003368
86,39.2595,0.75057,0.95438,0.98549,0.49602,0.43331,0.27917,0.13231,1.76213,2.31442,2.02692,0.000317,0.000317,0.000317
87,39.7321,0.76615,1.02936,0.95577,0.4673,0.4,0.28534,0.14232,1.71086,2.29579,1.99452,0.0002972,0.0002972,0.0002972
88,40.1573,0.74726,0.91325,0.98392,0.4673,0.4,0.28534,0.14232,1.71086,2.29579,1.99452,0.0002774,0.0002774,0.0002774
